city,state,skill,experience,demand_index,cost_of_living,wage
Delhi,Delhi,Mason,10,1.39,14031,1600.12
Delhi,Delhi,Mason,7,1.28,9060,1485.2
Hyderabad,Telangana,Mason,5,0.5,17482,1350.64
Delhi,Delhi,Painter,10,1.03,8221,1247.92
Hyderabad,Telangana,Carpenter,6,1.45,19151,1650.52
Chennai,Tamil Nadu,Mason,10,0.64,19366,1644.32
Chennai,Tamil Nadu,Carpenter,6,0.84,10309,1289.18
Delhi,Delhi,Painter,6,1.04,11286,1442.72
Delhi,Delhi,Carpenter,11,0.8,13721,1638.42
Pune,Maharashtra,Painter,3,0.76,19960,1227.2
Hyderabad,Telangana,Painter,11,1.14,15537,1696.74
Delhi,Delhi,Carpenter,8,0.6,11131,1330.62
Delhi,Delhi,Painter,15,0.83,16900,1788.5
Bangalore,Karnataka,Electrician,8,0.65,18132,1253.14
Hyderabad,Telangana,Mason,13,0.62,17661,1797.22
Chennai,Tamil Nadu,Painter,1,0.88,17017,863.34
Chennai,Tamil Nadu,Painter,5,0.59,18341,1371.32
Bangalore,Karnataka,Mason,3,0.86,19576,1081.52
Chennai,Tamil Nadu,Carpenter,7,1.43,14588,1434.26
Hyderabad,Telangana,Electrician,11,0.91,9195,1571.4
Pune,Maharashtra,Painter,8,0.91,16141,1433.32
Pune,Maharashtra,Mason,3,1.41,17484,1095.18
Hyderabad,Telangana,Carpenter,7,1.48,11555,1618.1
Hyderabad,Telangana,Carpenter,3,1.31,18986,1192.22
Chennai,Tamil Nadu,Painter,11,1.44,12843,1604.86
Pune,Maharashtra,Carpenter,9,1.49,8313,1315.76
Chennai,Tamil Nadu,Electrician,12,1.26,18197,1666.94
Chennai,Tamil Nadu,Painter,9,1.21,8981,1473.12
Chennai,Tamil Nadu,Electrician,7,0.83,15005,1393.6
Bangalore,Karnataka,Mason,4,1.34,13296,1355.92
Delhi,Delhi,Painter,11,0.76,19576,1768.52
Pune,Maharashtra,Painter,3,0.92,10083,1008.66
Pune,Maharashtra,Mason,5,1.13,18449,1171.48
Hyderabad,Telangana,Painter,13,1.15,17829,1674.08
Pune,Maharashtra,Carpenter,5,1.23,11120,1307.9
Pune,Maharashtra,Mason,8,1.14,19814,1536.28
Delhi,Delhi,Electrician,8,0.65,14975,1219.0
Bangalore,Karnataka,Carpenter,11,1.3,8565,1670.3
Bangalore,Karnataka,Mason,6,1.03,15718,1459.86
Delhi,Delhi,Electrician,2,1.33,13425,1072.0
Delhi,Delhi,Mason,12,1.16,19108,1749.16
Bangalore,Karnataka,Electrician,8,1.19,19148,1546.46
Delhi,Delhi,Carpenter,10,1.19,11156,1620.62
Delhi,Delhi,Mason,3,0.96,15613,1015.26
Pune,Maharashtra,Painter,1,0.95,9543,789.36
Pune,Maharashtra,Mason,13,1.06,17810,1701.2
Delhi,Delhi,Mason,11,1.49,11144,1698.38
Delhi,Delhi,Electrician,7,0.77,14036,1113.22
Pune,Maharashtra,Mason,2,0.87,18205,1164.6
Delhi,Delhi,Carpenter,3,0.82,12632,851.64
Delhi,Delhi,Painter,5,1.31,16435,1229.2
Bangalore,Karnataka,Painter,6,1.45,8849,1356.48
Pune,Maharashtra,Mason,6,1.27,14698,1405.46
Hyderabad,Telangana,Carpenter,13,1.14,10722,1823.44
Hyderabad,Telangana,Electrician,15,0.8,17612,1821.24
Delhi,Delhi,Electrician,12,1.26,19990,1925.8
Delhi,Delhi,Carpenter,4,1.39,14607,1198.64
Pune,Maharashtra,Mason,1,0.89,9585,980.2
Pune,Maharashtra,Carpenter,12,1.38,17370,1907.4
Chennai,Tamil Nadu,Carpenter,15,0.72,19733,2051.66
Hyderabad,Telangana,Painter,13,1.4,9638,1789.76
Chennai,Tamil Nadu,Electrician,12,1.07,12651,1515.52
Delhi,Delhi,Mason,10,0.75,14039,1377.28
Chennai,Tamil Nadu,Mason,12,1.47,17776,1695.02
Pune,Maharashtra,Carpenter,13,0.59,11608,1724.66
Pune,Maharashtra,Carpenter,15,0.85,14923,1641.96
Chennai,Tamil Nadu,Mason,8,1.31,12068,1386.86
Hyderabad,Telangana,Electrician,7,1.23,18373,1483.96
Bangalore,Karnataka,Carpenter,8,1.38,12462,1638.24
Delhi,Delhi,Painter,6,0.87,18871,1346.92
Chennai,Tamil Nadu,Carpenter,6,0.93,15403,1408.56
Chennai,Tamil Nadu,Painter,11,0.73,8614,1341.78
Chennai,Tamil Nadu,Mason,5,0.84,19200,1374.0
Bangalore,Karnataka,Carpenter,14,1.16,17299,1797.98
Pune,Maharashtra,Painter,7,1.27,11697,1335.44
Delhi,Delhi,Painter,5,1.13,15612,1252.74
Hyderabad,Telangana,Electrician,11,0.67,8545,1415.4
Bangalore,Karnataka,Mason,5,0.62,8045,1020.9
Bangalore,Karnataka,Painter,6,1.26,15887,1255.74
Hyderabad,Telangana,Electrician,7,0.94,14403,1308.06
Bangalore,Karnataka,Painter,1,0.57,16727,1135.04
Delhi,Delhi,Carpenter,6,0.5,10145,901.9
Pune,Maharashtra,Mason,14,0.96,10765,1857.3
Delhi,Delhi,Mason,13,0.78,11142,1598.84
Delhi,Delhi,Painter,6,0.82,10388,1136.76
Bangalore,Karnataka,Mason,2,1.45,9154,985.58
Hyderabad,Telangana,Electrician,14,0.62,18483,1748.66
Chennai,Tamil Nadu,Mason,10,1.43,12711,1689.72
Delhi,Delhi,Carpenter,13,0.56,9180,1359.6
Chennai,Tamil Nadu,Carpenter,2,1.36,12150,1147.0
Bangalore,Karnataka,Mason,15,1.36,8974,1624.48
Delhi,Delhi,Carpenter,10,1.03,15160,1373.7
Hyderabad,Telangana,Mason,3,1.44,18725,1256.5
Bangalore,Karnataka,Electrician,6,1.1,14871,1353.42
Pune,Maharashtra,Carpenter,5,1.47,17626,1258.02
Pune,Maharashtra,Electrician,1,1.49,10659,891.68
Delhi,Delhi,Electrician,11,1.4,18986,1961.72
Delhi,Delhi,Painter,13,0.85,10389,1595.28
Hyderabad,Telangana,Carpenter,4,0.51,8996,807.42
Delhi,Delhi,Painter,4,1.11,18801,1196.52
Delhi,Delhi,Electrician,4,1.13,15459,1136.68
Pune,Maharashtra,Electrician,5,1.21,19280,1490.1
Hyderabad,Telangana,Electrician,6,0.82,16524,1231.48
Chennai,Tamil Nadu,Painter,6,1.47,10071,1389.92
Pune,Maharashtra,Mason,7,0.85,14803,1155.56
Hyderabad,Telangana,Electrician,4,0.98,16771,1338.42
Hyderabad,Telangana,Painter,13,1.07,8196,1447.42
Pune,Maharashtra,Electrician,15,0.93,14106,2012.62
Delhi,Delhi,Carpenter,3,1.39,17312,1357.74
Bangalore,Karnataka,Painter,8,1.17,9333,1324.16
Chennai,Tamil Nadu,Carpenter,6,1.46,19828,1404.56
Chennai,Tamil Nadu,Carpenter,4,0.73,11602,964.54
Delhi,Delhi,Painter,12,0.76,8420,1553.4
Hyderabad,Telangana,Electrician,14,0.87,8749,1759.48
Chennai,Tamil Nadu,Painter,15,0.69,19999,2034.48
Delhi,Delhi,Painter,14,1.44,18018,2072.36
Bangalore,Karnataka,Painter,8,0.88,14778,1424.56
Hyderabad,Telangana,Mason,11,1.25,11315,1736.8
Pune,Maharashtra,Painter,7,1.37,14366,1553.82
Hyderabad,Telangana,Painter,4,1.29,8818,984.86
Hyderabad,Telangana,Carpenter,12,1.07,11958,1548.66
Pune,Maharashtra,Mason,7,1.27,11678,1251.06
Chennai,Tamil Nadu,Carpenter,2,1.37,17480,1039.1
Delhi,Delhi,Mason,6,1.16,14799,1200.98
Bangalore,Karnataka,Mason,10,1.2,17905,1832.1
Chennai,Tamil Nadu,Carpenter,3,1.34,14953,1384.06
Bangalore,Karnataka,Mason,13,1.03,9938,1776.26
Pune,Maharashtra,Painter,9,1.21,12973,1452.96
Delhi,Delhi,Electrician,12,1.31,11155,1620.6
Delhi,Delhi,Mason,6,0.99,11068,1362.86
Delhi,Delhi,Mason,10,0.77,18914,1587.78
Pune,Maharashtra,Carpenter,6,1.02,12539,1276.78
Hyderabad,Telangana,Carpenter,2,0.57,12134,758.18
Chennai,Tamil Nadu,Painter,10,1.33,14725,1517.0
Chennai,Tamil Nadu,Mason,7,1.42,17638,1447.76
Chennai,Tamil Nadu,Electrician,6,1.1,17617,1412.34
Delhi,Delhi,Painter,3,1.32,11214,1271.28
Hyderabad,Telangana,Carpenter,7,1.41,17184,1319.18
Pune,Maharashtra,Mason,4,0.98,12191,979.82
Pune,Maharashtra,Carpenter,10,1.09,10424,1473.98
Pune,Maharashtra,Painter,12,1.41,8728,1486.06
Hyderabad,Telangana,Carpenter,13,0.58,12808,1459.16
Bangalore,Karnataka,Carpenter,3,1.04,8324,1091.48
Pune,Maharashtra,Carpenter,9,0.86,14629,1388.58
Hyderabad,Telangana,Painter,2,0.86,12879,997.58
Chennai,Tamil Nadu,Electrician,2,1.32,18328,1328.56
Pune,Maharashtra,Painter,10,0.75,14524,1583.98
Chennai,Tamil Nadu,Mason,4,1.15,19204,1383.58
Hyderabad,Telangana,Electrician,4,1.29,17013,1164.76
Delhi,Delhi,Carpenter,2,1.07,8011,1047.72
Hyderabad,Telangana,Painter,12,1.06,19550,1621.0
Pune,Maharashtra,Painter,7,1.47,15634,1565.18
Pune,Maharashtra,Mason,13,0.69,17890,1770.3
Delhi,Delhi,Mason,13,1.44,8892,1749.84
Delhi,Delhi,Mason,12,1.14,13834,1742.68
Chennai,Tamil Nadu,Carpenter,10,0.99,17629,1431.08
Bangalore,Karnataka,Electrician,10,1.25,11794,1393.38
Bangalore,Karnataka,Painter,5,0.55,14444,1195.38
Chennai,Tamil Nadu,Electrician,3,0.65,16658,967.66
Bangalore,Karnataka,Electrician,15,0.9,8866,1529.32
Hyderabad,Telangana,Electrician,9,1.23,12300,1490.5
Bangalore,Karnataka,Electrician,3,1.25,10248,1043.46
Bangalore,Karnataka,Electrician,10,0.58,17084,1603.68
Hyderabad,Telangana,Painter,3,1.36,9560,1057.2
Delhi,Delhi,Painter,8,1.19,8227,1328.04
Chennai,Tamil Nadu,Carpenter,8,0.51,17557,1289.64
Bangalore,Karnataka,Mason,15,1.32,9016,1796.32
Pune,Maharashtra,Mason,15,1.25,14413,1710.76
Delhi,Delhi,Electrician,4,0.94,12363,1072.26
Bangalore,Karnataka,Painter,2,0.96,18634,1253.68
Bangalore,Karnataka,Carpenter,4,1.47,14466,1308.82
Pune,Maharashtra,Electrician,8,1.47,13296,1313.42
Hyderabad,Telangana,Carpenter,2,1.44,14866,1201.32
Hyderabad,Telangana,Mason,10,0.81,18312,1519.74
Delhi,Delhi,Painter,11,0.65,19533,1427.16
Bangalore,Karnataka,Electrician,15,1.22,11781,1831.62
Delhi,Delhi,Electrician,8,1.21,18378,1490.06
Delhi,Delhi,Carpenter,6,1.23,19087,1635.24
Delhi,Delhi,Painter,8,1.42,12442,1296.84
Delhi,Delhi,Carpenter,10,1.08,14953,1438.06
Bangalore,Karnataka,Carpenter,15,1.04,11779,1796.58
Bangalore,Karnataka,Carpenter,2,0.59,16665,970.8
Hyderabad,Telangana,Electrician,12,1.27,16685,1943.2
Bangalore,Karnataka,Electrician,3,1.21,19856,1236.62
Pune,Maharashtra,Mason,7,1.28,13041,1388.82
Hyderabad,Telangana,Painter,12,1.35,19797,1818.44
Delhi,Delhi,Mason,5,1.31,8049,1030.48
Chennai,Tamil Nadu,Electrician,1,1.31,8075,912.0
Chennai,Tamil Nadu,Carpenter,6,0.77,19785,1393.2
Chennai,Tamil Nadu,Carpenter,9,1.04,13870,1296.4
Chennai,Tamil Nadu,Carpenter,10,0.65,14599,1614.48
Hyderabad,Telangana,Painter,12,0.56,14431,1349.62
Delhi,Delhi,Electrician,6,0.56,19756,1495.12
Hyderabad,Telangana,Painter,4,0.63,19381,1201.12
Hyderabad,Telangana,Carpenter,15,1.46,9360,1852.2
Pune,Maharashtra,Painter,3,0.99,15970,991.9
Hyderabad,Telangana,Painter,8,1.18,19231,1494.62
Hyderabad,Telangana,Mason,7,1.01,11382,1353.14
Delhi,Delhi,Painter,4,0.68,14864,1239.28
Pune,Maharashtra,Painter,14,1.07,17984,1909.18
Chennai,Tamil Nadu,Painter,11,0.84,13860,1565.2
Hyderabad,Telangana,Mason,11,1.05,16771,1678.92
Delhi,Delhi,Painter,8,0.58,8402,1081.04
Chennai,Tamil Nadu,Electrician,15,0.76,11601,1902.02
Hyderabad,Telangana,Mason,8,0.83,9837,1299.24
Pune,Maharashtra,Painter,10,0.56,19250,1582.0
Delhi,Delhi,Mason,8,1.21,9937,1440.24
Bangalore,Karnataka,Painter,8,0.86,15561,1408.22
Bangalore,Karnataka,Mason,4,0.65,14111,1203.72
Delhi,Delhi,Mason,1,1.0,18411,915.22
Chennai,Tamil Nadu,Mason,3,1.23,9185,1079.2
Chennai,Tamil Nadu,Mason,14,0.75,17105,1893.6
Delhi,Delhi,Electrician,8,1.24,11119,1275.38
Hyderabad,Telangana,Mason,11,1.36,11854,1772.08
Hyderabad,Telangana,Painter,10,1.28,17208,1648.16
Chennai,Tamil Nadu,Mason,6,1.21,10301,1102.52
Delhi,Delhi,Electrician,15,0.54,10551,1686.02
Hyderabad,Telangana,Carpenter,9,1.09,15410,1626.7
Bangalore,Karnataka,Electrician,2,1.04,10627,1184.54
Delhi,Delhi,Painter,8,1.46,13672,1509.44
Delhi,Delhi,Electrician,7,1.15,12106,1521.62
Pune,Maharashtra,Mason,11,0.52,19393,1735.86
Bangalore,Karnataka,Painter,4,1.16,11571,1157.42
Bangalore,Karnataka,Painter,8,1.0,16557,1574.14
Delhi,Delhi,Mason,10,1.09,16908,1742.66
Delhi,Delhi,Carpenter,1,0.64,16301,1099.02
Chennai,Tamil Nadu,Carpenter,13,1.23,15103,1964.56
Bangalore,Karnataka,Mason,3,1.32,8682,925.64
Hyderabad,Telangana,Mason,6,1.36,14487,1515.74
Pune,Maharashtra,Electrician,13,1.1,15632,1795.64
Delhi,Delhi,Carpenter,5,1.3,18274,1346.48
Hyderabad,Telangana,Mason,3,1.46,10727,1068.54
Pune,Maharashtra,Electrician,1,1.03,13698,970.46
Pune,Maharashtra,Electrician,5,1.03,14730,1275.1
Chennai,Tamil Nadu,Electrician,5,0.81,8966,1167.82
Hyderabad,Telangana,Painter,4,1.01,15236,1312.22
Hyderabad,Telangana,Electrician,12,1.01,16520,1660.9
Hyderabad,Telangana,Electrician,8,1.07,19156,1600.62
Chennai,Tamil Nadu,Electrician,15,1.05,9808,1765.66
Hyderabad,Telangana,Carpenter,12,1.28,13586,1614.72
Bangalore,Karnataka,Painter,3,1.33,18132,1133.14
Pune,Maharashtra,Electrician,6,1.2,9117,1245.34
Delhi,Delhi,Painter,8,0.93,16883,1647.16
Bangalore,Karnataka,Electrician,13,1.31,18885,1994.2
Bangalore,Karnataka,Carpenter,6,0.57,9619,1228.88
Delhi,Delhi,Electrician,7,1.26,19818,1550.36
Hyderabad,Telangana,Electrician,1,1.44,9115,1145.3
Delhi,Delhi,Mason,6,0.83,10891,1162.32
Delhi,Delhi,Painter,9,0.93,16193,1349.36
Delhi,Delhi,Electrician,7,0.99,11621,1168.92
Bangalore,Karnataka,Mason,7,0.73,11238,1287.26
Pune,Maharashtra,Carpenter,11,1.08,19755,1663.1
Hyderabad,Telangana,Electrician,13,1.31,11983,1584.16
Bangalore,Karnataka,Electrician,3,1.17,18419,1404.88
Delhi,Delhi,Electrician,1,1.16,16186,1080.72
Hyderabad,Telangana,Mason,8,0.7,18637,1514.74
Hyderabad,Telangana,Painter,10,1.33,10617,1666.84
Bangalore,Karnataka,Electrician,6,0.93,19352,1457.54
Bangalore,Karnataka,Mason,14,0.78,16745,1776.9
Delhi,Delhi,Painter,15,0.72,15934,1667.68
Pune,Maharashtra,Carpenter,5,0.89,14162,1084.74
Delhi,Delhi,Electrician,7,1.28,16775,1558.5
Hyderabad,Telangana,Carpenter,4,0.72,11072,1219.44
Pune,Maharashtra,Painter,7,0.74,9100,1365.0
Hyderabad,Telangana,Painter,13,0.99,12367,1531.84
Chennai,Tamil Nadu,Carpenter,8,1.09,13007,1571.64
Pune,Maharashtra,Carpenter,4,0.7,10309,1008.18
Hyderabad,Telangana,Mason,11,0.52,12411,1330.22
Bangalore,Karnataka,Mason,5,1.26,9629,1252.58
Chennai,Tamil Nadu,Electrician,9,1.18,12387,1297.74
Hyderabad,Telangana,Electrician,12,1.37,10696,1837.42
Chennai,Tamil Nadu,Mason,5,1.29,10011,1081.72
Bangalore,Karnataka,Painter,2,1.29,8694,988.38
Chennai,Tamil Nadu,Mason,1,0.84,15684,1116.68
Chennai,Tamil Nadu,Painter,6,0.99,15059,1409.68
Bangalore,Karnataka,Painter,12,0.93,19268,1763.86
Delhi,Delhi,Electrician,7,1.13,18497,1479.44
Pune,Maharashtra,Mason,10,1.14,8121,1321.42
Bangalore,Karnataka,Carpenter,3,1.31,13266,1271.82
Hyderabad,Telangana,Electrician,3,1.15,9059,853.68
Chennai,Tamil Nadu,Painter,7,0.8,13329,1174.58
Delhi,Delhi,Carpenter,9,0.83,16995,1455.4
Hyderabad,Telangana,Mason,2,1.14,12052,1054.04
Bangalore,Karnataka,Electrician,7,1.15,11181,1468.12
Hyderabad,Telangana,Mason,11,0.68,18317,1502.34
Hyderabad,Telangana,Carpenter,3,1.11,15237,1233.24
Pune,Maharashtra,Electrician,14,0.77,15334,1616.18
Delhi,Delhi,Mason,1,0.81,9899,788.48
Hyderabad,Telangana,Painter,8,1.24,13305,1288.1
Chennai,Tamil Nadu,Painter,10,1.48,16127,1581.54
Bangalore,Karnataka,Painter,15,0.52,19497,1999.94
Pune,Maharashtra,Carpenter,6,1.47,11019,1472.88
Pune,Maharashtra,Electrician,13,0.93,18579,1629.08
Hyderabad,Telangana,Mason,6,1.44,17971,1566.42
Delhi,Delhi,Electrician,9,1.21,11109,1367.68
Chennai,Tamil Nadu,Electrician,4,1.19,14065,1295.8
Bangalore,Karnataka,Electrician,15,1.04,10224,1599.48
Bangalore,Karnataka,Mason,15,0.88,8534,1799.68
Bangalore,Karnataka,Electrician,9,1.32,19833,1578.66
Chennai,Tamil Nadu,Mason,6,1.21,19999,1476.48
Delhi,Delhi,Mason,7,1.22,11305,1417.1
Delhi,Delhi,Carpenter,5,0.78,13837,1051.74
Bangalore,Karnataka,Painter,15,1.01,10989,1621.28
Hyderabad,Telangana,Electrician,10,0.99,9737,1362.24
Chennai,Tamil Nadu,Electrician,13,0.97,17678,1755.06
Delhi,Delhi,Electrician,8,0.78,16771,1276.42
Bangalore,Karnataka,Carpenter,5,0.67,10599,1111.48
Bangalore,Karnataka,Electrician,2,0.68,19906,937.12
Chennai,Tamil Nadu,Electrician,11,0.75,19318,1631.86
Chennai,Tamil Nadu,Electrician,7,1.1,14948,1300.96
Pune,Maharashtra,Carpenter,12,1.16,10430,1490.6
Pune,Maharashtra,Mason,9,0.77,14206,1349.62
Pune,Maharashtra,Electrician,2,0.8,12291,1080.82
Pune,Maharashtra,Painter,3,0.73,11503,1153.56
Pune,Maharashtra,Carpenter,14,1.14,11582,1601.64
Delhi,Delhi,Electrician,6,1.16,19220,1345.4
Hyderabad,Telangana,Electrician,11,0.59,15818,1559.86
Hyderabad,Telangana,Carpenter,6,0.74,15167,1376.34
Pune,Maharashtra,Painter,4,1.04,8894,1052.88
Bangalore,Karnataka,Carpenter,5,1.17,11427,1399.04
Chennai,Tamil Nadu,Electrician,5,0.56,11580,915.6
Chennai,Tamil Nadu,Painter,14,0.59,15240,1835.3
Bangalore,Karnataka,Painter,3,1.45,19271,1322.92
Hyderabad,Telangana,Painter,14,0.95,11502,1751.54
Pune,Maharashtra,Carpenter,7,1.32,14648,1364.96
Delhi,Delhi,Painter,4,1.02,11401,1280.02
Bangalore,Karnataka,Electrician,14,0.69,9887,1775.24
Chennai,Tamil Nadu,Carpenter,6,0.8,15770,1364.4
Delhi,Delhi,Painter,9,0.77,17914,1311.78
Delhi,Delhi,Carpenter,1,1.49,11893,1133.36
Pune,Maharashtra,Carpenter,4,1.37,18846,1455.42
Chennai,Tamil Nadu,Carpenter,5,0.91,12542,1195.34
Bangalore,Karnataka,Electrician,3,1.13,11759,1088.68
Pune,Maharashtra,Electrician,2,1.2,16421,1141.42
Chennai,Tamil Nadu,Painter,11,1.17,13712,1532.74
Bangalore,Karnataka,Electrician,8,1.39,18010,1643.7
Pune,Maharashtra,Mason,1,0.57,18432,868.14
Bangalore,Karnataka,Electrician,12,0.8,13640,1425.8
Pune,Maharashtra,Electrician,1,1.18,16837,1214.74
Delhi,Delhi,Mason,14,0.57,19475,1957.0
Bangalore,Karnataka,Mason,5,1.37,14205,1460.6
Chennai,Tamil Nadu,Mason,8,1.42,19706,1438.12
Delhi,Delhi,Electrician,9,1.04,19922,1445.44
Chennai,Tamil Nadu,Electrician,7,1.29,10721,1165.92
Pune,Maharashtra,Painter,2,1.09,9658,829.66
Pune,Maharashtra,Electrician,7,1.28,19906,1480.12
Pune,Maharashtra,Electrician,1,1.03,10065,995.8
Chennai,Tamil Nadu,Mason,13,1.42,10390,1709.8
Hyderabad,Telangana,Electrician,4,0.66,8355,1036.1
Chennai,Tamil Nadu,Electrician,11,0.68,19923,1709.46
Bangalore,Karnataka,Carpenter,6,1.49,19329,1496.08
Chennai,Tamil Nadu,Electrician,13,0.52,19223,1711.46
Bangalore,Karnataka,Electrician,4,1.08,17009,1310.18
Bangalore,Karnataka,Carpenter,7,0.78,12330,1266.6
Bangalore,Karnataka,Carpenter,10,0.63,12761,1609.72
Delhi,Delhi,Mason,3,1.37,11221,1049.92
Bangalore,Karnataka,Painter,6,0.93,13381,1237.12
Pune,Maharashtra,Painter,11,0.68,8632,1399.64
Pune,Maharashtra,Painter,8,0.95,16508,1644.66
Chennai,Tamil Nadu,Carpenter,11,0.71,9782,1532.14
Pune,Maharashtra,Electrician,9,0.84,9615,1297.3
Pune,Maharashtra,Mason,4,0.84,19593,1043.86
Delhi,Delhi,Carpenter,14,0.99,10412,1696.74
Hyderabad,Telangana,Carpenter,15,0.52,9874,1457.48
Chennai,Tamil Nadu,Carpenter,10,0.96,12336,1349.72
Chennai,Tamil Nadu,Painter,14,0.93,10998,1534.46
Chennai,Tamil Nadu,Mason,5,0.74,8745,892.9
Bangalore,Karnataka,Mason,7,1.42,19783,1617.66
Pune,Maharashtra,Mason,11,0.64,18330,1488.6
Chennai,Tamil Nadu,Electrician,1,0.53,12692,727.34
Delhi,Delhi,Painter,7,0.81,12582,1300.14
Bangalore,Karnataka,Electrician,12,1.42,18345,2032.9
Delhi,Delhi,Electrician,6,0.94,10856,1153.12
Pune,Maharashtra,Carpenter,1,0.94,19917,1113.34
Pune,Maharashtra,Mason,4,0.69,16019,1197.88
Hyderabad,Telangana,Painter,5,0.84,12982,1335.64
Hyderabad,Telangana,Carpenter,8,1.44,18605,1710.1
Delhi,Delhi,Mason,8,0.73,18327,1451.04
Pune,Maharashtra,Mason,2,0.52,9999,736.98
Delhi,Delhi,Carpenter,3,1.18,16528,1384.56
Pune,Maharashtra,Mason,10,0.65,13127,1394.04
Bangalore,Karnataka,Carpenter,14,0.7,16917,1581.34
Bangalore,Karnataka,Carpenter,4,1.37,10888,1394.26
Chennai,Tamil Nadu,Painter,8,0.95,11346,1250.42
Chennai,Tamil Nadu,Carpenter,1,1.27,9335,975.2
Pune,Maharashtra,Painter,10,0.74,12982,1557.64
Bangalore,Karnataka,Painter,13,0.6,9762,1573.24
Chennai,Tamil Nadu,Painter,3,0.7,8109,1069.18
Delhi,Delhi,Painter,3,0.64,11639,993.78
Delhi,Delhi,Mason,15,0.72,16595,1944.9
Pune,Maharashtra,Painter,12,0.52,13279,1438.58
Bangalore,Karnataka,Painter,12,0.9,10562,1583.24
Hyderabad,Telangana,Carpenter,10,1.07,11357,1578.64
Pune,Maharashtra,Carpenter,14,1.01,14165,1884.8
Chennai,Tamil Nadu,Electrician,10,0.79,14191,1449.32
Bangalore,Karnataka,Electrician,15,1.05,19676,1833.02
Delhi,Delhi,Carpenter,11,0.6,16841,1613.82
Delhi,Delhi,Painter,2,1.09,17627,1335.04
Pune,Maharashtra,Electrician,8,1.46,17805,1489.1
Pune,Maharashtra,Carpenter,3,0.86,14722,1110.44
Delhi,Delhi,Mason,4,0.82,9529,930.58
Chennai,Tamil Nadu,Mason,15,1.03,16344,2023.38
Chennai,Tamil Nadu,Painter,4,0.87,19247,1096.44
Bangalore,Karnataka,Electrician,7,0.55,10679,1120.08
Chennai,Tamil Nadu,Electrician,10,1.47,17443,1862.36
Bangalore,Karnataka,Painter,10,0.71,13951,1519.52
Hyderabad,Telangana,Electrician,5,1.11,11962,1060.74
Hyderabad,Telangana,Painter,4,1.35,16692,1460.34
Delhi,Delhi,Carpenter,13,1.49,16496,1744.42
Chennai,Tamil Nadu,Electrician,12,0.57,12152,1305.54
Bangalore,Karnataka,Painter,11,0.76,11622,1615.44
Chennai,Tamil Nadu,Electrician,7,0.65,8276,1180.02
Delhi,Delhi,Painter,7,1.31,19956,1363.62
Chennai,Tamil Nadu,Painter,3,1.31,13125,1147.0
Bangalore,Karnataka,Carpenter,7,1.11,18704,1330.58
Chennai,Tamil Nadu,Mason,4,0.61,17388,1242.26
Hyderabad,Telangana,Electrician,6,1.3,10538,1151.76
Delhi,Delhi,Painter,11,1.48,13459,1868.18
Hyderabad,Telangana,Painter,3,0.74,12399,915.98
Delhi,Delhi,Painter,9,0.89,14516,1428.82
Bangalore,Karnataka,Carpenter,4,1.47,9116,1133.82
Pune,Maharashtra,Painter,14,0.84,12799,1643.98
Hyderabad,Telangana,Painter,15,1.07,11785,1976.2
Chennai,Tamil Nadu,Carpenter,12,0.93,18611,1705.72
Pune,Maharashtra,Carpenter,14,1.08,16424,1892.48
Pune,Maharashtra,Carpenter,11,0.6,13418,1652.36
Delhi,Delhi,Carpenter,6,1.34,19541,1343.82
Bangalore,Karnataka,Painter,3,1.37,9956,1275.62
Bangalore,Karnataka,Electrician,10,0.53,14652,1555.54
Hyderabad,Telangana,Carpenter,14,1.4,13242,1686.84
Chennai,Tamil Nadu,Carpenter,5,1.5,9225,1254.5
Chennai,Tamil Nadu,Electrician,15,1.42,9665,1799.3
Hyderabad,Telangana,Painter,2,0.85,17209,1215.68
Pune,Maharashtra,Carpenter,9,0.56,16375,1216.5
Delhi,Delhi,Electrician,12,1.34,14378,1920.56
Bangalore,Karnataka,Painter,9,1.47,19376,1789.02
Bangalore,Karnataka,Mason,11,0.78,10309,1504.18
Hyderabad,Telangana,Carpenter,4,1.22,11966,1013.32
Delhi,Delhi,Carpenter,5,1.07,9916,1057.82
Bangalore,Karnataka,Carpenter,2,0.7,16945,1190.9
Chennai,Tamil Nadu,Painter,5,1.11,14188,1093.26
Bangalore,Karnataka,Electrician,3,1.23,19416,1243.82
Delhi,Delhi,Carpenter,11,1.42,11760,1567.2
Delhi,Delhi,Mason,2,1.07,11250,1114.5
Chennai,Tamil Nadu,Mason,13,0.53,15110,1476.7
Delhi,Delhi,Mason,2,0.83,19020,1050.9
Pune,Maharashtra,Electrician,1,1.25,19124,1174.98
Delhi,Delhi,Painter,5,1.3,19012,1267.24
Chennai,Tamil Nadu,Carpenter,1,1.38,16757,1105.14
Pune,Maharashtra,Electrician,9,0.66,18102,1435.04
Bangalore,Karnataka,Mason,15,1.0,12809,1852.18
Hyderabad,Telangana,Mason,10,0.6,18463,1695.26
Chennai,Tamil Nadu,Mason,9,1.5,17431,1557.62
Hyderabad,Telangana,Carpenter,2,1.49,12229,999.08
Chennai,Tamil Nadu,Mason,3,0.84,18059,1322.18
Hyderabad,Telangana,Painter,1,1.09,17968,1255.86
Chennai,Tamil Nadu,Painter,4,1.2,15655,1384.1
Hyderabad,Telangana,Carpenter,12,0.67,11529,1656.08
Bangalore,Karnataka,Electrician,1,1.22,19288,1337.76
